DFO Area,Species Name,SMU Name,SMU Full Index,SMU Life History Type,CU Name,CU Common Name,CU Full Index,CU Life History Type,CU Type,DU Name,DU Number,DU Full Index,DU Acronym
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-EAST,Haida Gwaii-East,CK-44,,Current,"Haida Gwaii-East Ocean, Fall",31,CK-DU-31,HGE
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-NORTH,Haida Gwaii-North,CK-43,,Current,"Haida Gwaii-North Ocean/Stream, Summer",30,CK-DU-30,HGN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-EARLY TIMING,North and Central Coast-Early Timing,CK-42,,Current,"North and Central Coast Early, Ocean, Spring",38,CK-DU-38,NCC early
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-LATE TIMING,North and Central Coast-Late Timing,CK-41,,Current,"HecLow, Ocean/Stream, Summer; North and Central Coast Late, Ocean/Stream, Summer",39; 37,CK-DU-39; CK-DU-37,HecLow; NCC Late
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,DEAN RIVER,Dean River,CK-40,,Current,"Dean River, Stream, Summer",36,CK-DU-36,DEAN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,BELLA COOLA-BENTINCK,Bella Coola-Bentinck,CK-39,,Current,"Bella Coola-Bentinck, Ocean, Summer",35,CK-DU-35,BCR-BENT
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,WANNOCK,Wannock,CK-38,,Current,"Wannock River, Ocean, Fall",34,CK-DU-34,WANN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,RIVERS INLET,Rivers Inlet,CK-37,,Current,"Rivers Inlet, Stream, Summer",33,CK-DU-33,RIVERS
NORTH COAST,Chinook,,,,GITNADOIX,,CK-47,,Deprecated,,,,
NORTH COAST,Chinook,,,,MIDDLE SKEENA,,CK-52,,Deprecated,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,EAST HG,East HG,CM-21,,Current,,,,
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,PORTLAND CANAL-OBSERVATORY,Portland Canal-Observatory,CM-32,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,SKIDEGATE,Skidegate,CM-22,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,WEST HAIDA GWAII,West Haida Gwaii,CM-23,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,DOUGLAS-GARDNER,Douglas-Gardner,CM-20,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,RIVERS INLET,Rivers Inlet,CM-13,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,HECATE LOWLANDS,Hecate Lowlands,CM-18,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,SMITH INLET,Smith Inlet,CM-12,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,NORTH HAIDA GWAII-STANLEY CREEK,North Haida Gwaii-Stanley Creek,CM-25,,Current,,,,
NORTH COAST,Chum,NASS CHUM SALMON,CM-NC-31,,LOWER NASS,Lower Nass,CM-31,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,SPILLER-FITZ HUGH-BURKE,Spiller-Fitz Hugh-Burke,CM-15,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,NORTH HAIDA GWAII,North Haida Gwaii,CM-24,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,WANNOCK,Wannock,CM-14,,Current,,,,
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,PORTLAND INLET,Portland Inlet,CM-30,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,BELLA COOLA RIVER-LATE,Bella Coola River-Late,CM-17,,Current,,,,
NORTH COAST,Chum,,,,LOWER STIKINE,Lower Stikine,CM-34,,Current,,,,
NORTH COAST,Chum,SKEENA CHUM SALMON,CM-NC-04,,LOWER SKEENA,Lower Skeena,CM-27,,Current,,,,
NORTH COAST,Chum,SKEENA CHUM SALMON,CM-NC-04,,MIDDLE SKEENA,Middle Skeena,CM-28,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,MUSSEL-KYNOCH,Mussel-Kynoch,CM-19,,Current,,,,
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,SKEENA ESTUARY,Skeena Estuary,CM-26,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,BELLA COOLA-DEAN RIVERS,Bella Coola-Dean Rivers,CM-16,,Current,,,,
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,SMITH INLET,Smith Inlet,CO-20,,Current,Rivers-Smith Inlet,21,CO-DU-21,RSI
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,PORTLAND SOUND-OBSERVATORY INLET-PORTLAND CANAL,Portland Sound-Observatory Inlet-Portland Canal,CO-37,,Current,Lower Nass-Portland Canal,29,CO-DU-29,LNR-P
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,UPPER NASS,Upper Nass,CO-36,,Current,Upper Nass,30,CO-DU-30,UNR
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,LOWER NASS,Lower Nass,CO-35,,Current,Lower Nass-Portland Canal,29,CO-DU-29,LNR-P
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,UPPER SKEENA,Upper Skeena,CO-34,,Current,Upper Skeena,28,CO-DU-28,USK
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,MIDDLE SKEENA,Middle Skeena,CO-33,,Current,Middle Skeena,27,CO-DU-27,MSK
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,LOWER SKEENA,Lower Skeena,CO-32,,Current,Lower Skeena,26,CO-DU-26,LSK
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,SKEENA ESTUARY,Skeena Estuary,CO-31,,Current,Skeena Estuary,25,CO-DU-25,NSKEst
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,NORTHERN COASTAL STREAMS,Northern Coastal Streams,CO-30,,Current,Northern Coastal Streams,24,CO-DU-24,NCS
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,DOUGLAS CHANNEL-KITIMAT ARM,Douglas Channel-Kitimat Arm,CO-29,,Current,Northern Coastal Streams,24,CO-DU-24,NCS
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,HECATE STRAIT MAINLAND,Hecate Strait Mainland,CO-27,,Current,Hecate Strait Mainland,23,CO-DU-23,HecLow
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,MUSSEL-KYNOCH,Mussel-Kynoch,CO-26,,Current,Northern Coastal Streams,24,CO-DU-24,NCS
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-GRAHAM ISLAND LOWLANDS,HG-Graham Island Lowlands,CO-25,,Current,Haida Gwaii2 - North,19,CO-DU-19,NHG
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-WEST,HG-West,CO-24,,Current,Haida Gwaii2 - West,18,CO-DU-18,WHG
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-EAST,HG-East,CO-23,,Current,Haida Gwaii2 - East,20,CO-DU-20,EHG
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,BELLA COOLA-DEAN RIVERS,Bella Coola-Dean Rivers,CO-22,,Current,Bella Coola - Dean Rivers,22,CO-DU-22,BCD
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,RIVERS INLET,Rivers Inlet,CO-21,,Current,Rivers-Smith Inlet,21,CO-DU-21,RSI
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,BRIM-WAHOO,,CO-28,,Deprecated,Northern Coastal Streams,24,CO-DU-24,NCS
NORTH COAST,Pink,CENTRAL COAST PINK SALMON,PK-NC-02,Even Year; Odd Year,HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN,Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean,PKO-08,Odd Year,Current,,,,
NORTH COAST,Pink,CENTRAL COAST PINK SALMON,PK-NC-02,Even Year; Odd Year,HECATE STRAIT-LOWLANDS,Hecate Strait-Lowlands,PKO-12,Odd Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,WEST HAIDA GWAII,West Haida Gwaii,PKE-11,Even Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,WEST HAIDA GWAII,West Haida Gwaii,PKO-11,Odd Year,Current,,,,
NORTH COAST,Pink,CENTRAL COAST PINK SALMON,PK-NC-02,Even Year; Odd Year,HECATE STRAIT-FJORDS,Hecate Strait-Fjords,PKO-13,Odd Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,NORTH HAIDA GWAII,North Haida Gwaii,PKO-10,Odd Year,Current,,,,
NORTH COAST,Pink,SKEENA PINK SALMON,PK-NC-03,Even Year; Odd Year,MIDDLE AND UPPER SKEENA,Middle and Upper Skeena,PKO-16,Odd Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,EAST HAIDA GWAII,East Haida Gwaii,PKO-09,Odd Year,Current,,,,
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,UPPER NASS,Upper Nass,PKE-12,Even Year,Current,,,,
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-PORTLAND-OBSERVATORY,Nass-Portland-Observatory,PKO-17,Odd Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,NORTH HAIDA GWAII,North Haida Gwaii,PKE-09,Even Year,Current,,,,
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,UPPER NASS,Upper Nass,PKO-18,Odd Year,Current,,,,
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-SKEENA ESTUARY,Nass-Skeena Estuary,PKE-07,Even Year,Current,,,,
NORTH COAST,Pink,HAIDA GWAII PINK SALMON,PK-NC-01,Even Year; Odd Year,EAST HAIDA GWAII,East Haida Gwaii,PKE-10,Even Year,Current,,,,
NORTH COAST,Pink,CENTRAL COAST PINK SALMON,PK-NC-02,Even Year; Odd Year,HECATE LOWLANDS,Hecate Lowlands,PKE-05,Even Year,Current,,,,
NORTH COAST,Pink,SKEENA PINK SALMON,PK-NC-03,Even Year; Odd Year,MIDDLE-UPPER SKEENA,Middle-Upper Skeena,PKE-08,Even Year,Current,,,,
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-SKEENA ESTUARY,Nass-Skeena Estuary,PKO-14,Odd Year,Current,,,,
NORTH COAST,Pink,SKEENA PINK SALMON,PK-NC-03,Even Year; Odd Year,LOWER SKEENA,Lower Skeena,PKO-15,Odd Year,Current,,,,
NORTH COAST,Pink,CENTRAL COAST PINK SALMON,PK-NC-02,Even Year; Odd Year,HECATE STRAIT-FJORDS,Hecate Strait-Fjords,PKE-06,Even Year,Current,,,,
NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,SEL-NC-05,Lake Type,LONG,Long,SEL-15-01,Lake Type,Current,Long,100,SEL-DU-100,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,KESWAR CREEK,Keswar Creek,SEL-19-29,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,,,,SOUTH BONNILA,South Bonnila,SEL-19-73,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,SPLIT MOUNTAIN/LEVERSON,Split Mountain/Leverson,SEL-23-02,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,LEWIS CREEK,Lewis Creek,SEL-19-37,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,RODERICK,Roderick,SEL-19-50,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,CARTWRIGHT CREEK,Cartwright Creek,SEL-19-07,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,YAAKLELE LAGOON,Yaaklele Lagoon,SEL-19-69,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,HEVENOR INLET,Hevenor Inlet,SEL-19-22,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,STANNARD CREEK,Stannard Creek,SEL-19-58,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,DOUGLAS CREEK,Douglas Creek,SEL-19-15,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,SHIP POINT CREEK,Ship Point Creek,SEL-19-56,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,CHIC CHIC,Chic Chic,SEL-19-08,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,,,,ONERKA,Onerka,SEL-21-13,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,,,,MAYER,Mayer,SEL-17-11,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,HARTLEY BAY,Hartley Bay,SEL-19-21,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,WHALEN,Whalen,SEL-18-11,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,BORROWMAN CREEK,Borrowman Creek,SEL-19-05,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,MCDONALD CREEK,Mcdonald Creek,SEL-19-41,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,EVINRUDE INLET,Evinrude Inlet,SEL-19-19,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,LOWE/SIMPSON/WEARE,Lowe/Simpson/Weare,SEL-19-39,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,,,,SYLVIA CREEK,Sylvia Creek,SEL-19-72,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,WEST CREEK,West Creek,SEL-19-68,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,KENZUWASH CREEKS,Kenzuwash Creeks,SEL-19-28,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,MCLOUGHLIN,Mcloughlin,SEL-19-42,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,BACKLAND,Backland,SEL-18-01,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,DALLAIN CREEK,Dallain Creek,SEL-19-12,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,DOME,Dome,SEL-18-03,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,MONCKTON INLET CREEK,Monckton Inlet Creek,SEL-19-44,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,CLEMENTS,Clements,SEL-23-01,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,ELIZABETH,Elizabeth,SEL-19-16,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,SHENEEZA INLET,Sheneeza Inlet,SEL-19-55,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,TUNO CREEK EAST,Tuno Creek East,SEL-19-63,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,BUSEY CREEK,Busey Creek,SEL-19-06,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,KILDIDT CREEK,Kildidt Creek,SEL-19-30,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,TYLER CREEK,Tyler Creek,SEL-19-65,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,KADJUSDIS RIVER,Kadjusdis River,SEL-19-24,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,,,,GUDAL,Gudal,SEL-17-12,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,MARIAN,Marian,SEL-17-05,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,PRICE CREEK,Price Creek,SEL-19-48,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,TRENEMAN CREEK,Treneman Creek,SEL-19-61,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,SEL-NC-05,Lake Type,OWIKENO-LATE TIMING,Owikeno-Late Timing,SEL-15-03,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,KUNSOOT RIVER,Kunsoot River,SEL-19-35,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,DEER,Deer,SEL-19-13,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON,SEL-NC-03,Lake Type,WATT BAY,Watt Bay,SEL-19-67,Lake Type,VREQ[Bin],,,,
NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,SEL-NC-02,Lake Type,FOOTSORE/HODDER,Footsore/Hodder,SEL-21-12,Lake Type,Current,Footsore/ Hodder,165,SEL-DU-165,
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,MARIE,Marie,SEL-17-10,Lake Type,Current,Marie,97,SEL-DU-97,
NORTH COAST,Sockeye,,,,NORTHERN TRANSBOUNDARY FJORDS,Northern Transboundary Fjords,SER-22,River Type,Current,Stikine River; Taku River; Unuk River; Whiting River,44; 45; 47; 46,SER-DU-44; SER-DU-45; SER-DU-47; SER-DU-46,
NORTH COAST,Sockeye,,,,UPPER NASS RIVER,Upper Nass River,SER-21,River Type,Current,Upper Nass River,43,SER-DU-43,
NORTH COAST,Sockeye,,,,LOWER NASS-PORTLAND,Lower Nass-Portland,SER-20,River Type,Current,Lower Nass-Portland,42,SER-DU-42,
NORTH COAST,Sockeye,,,,SKEENA RIVER-HIGH INTERIOR,Skeena River-High Interior,SER-19,River Type,Current,Upper Skeena River,41,SER-DU-41,
NORTH COAST,Sockeye,,,,SKEENA RIVER,Skeena River,SER-18,River Type,Current,Lower Skeena River; Middle Skeena River,39; 40,SER-DU-39; SER-DU-40,
NORTH COAST,Sockeye,,,,NORTHERN COASTAL STREAMS,Northern Coastal Streams,SER-17,River Type,Current,Hecate Lowlands,38,SER-DU-38,
NORTH COAST,Sockeye,,,,NORTHERN COASTAL FJORDS,Northern Coastal Fjords,SER-16,River Type,Current,Bella Coola-Dean Rivers; Northern Coastal Streams,36; 37,SER-DU-36; SER-DU-37,
NORTH COAST,Sockeye,,,,NORTH HAIDA GWAII,North Haida Gwaii,SER-15,River Type,Current,North Haida Gwaii,33,SER-DU-33,
NORTH COAST,Sockeye,,,,WEST HAIDA GWAII,West Haida Gwaii,SER-14,River Type,Current,West Haida Gwaii,32,SER-DU-32,
NORTH COAST,Sockeye,,,,EAST HAIDA GWAII,East Haida Gwaii,SER-13,River Type,Current,East Haida Gwaii,34,SER-DU-34,
NORTH COAST,Sockeye,,,,RIVERS-SMITH INLETS,Rivers-Smith Inlets,SER-12,River Type,Current,Rivers-Smith Inlets,35,SER-DU-35,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,OWEEGEE,Oweegee,SEL-24-06,Lake Type,Current,Oweegee,183,SEL-DU-183,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,MEZIADIN,Meziadin,SEL-24-05,Lake Type,Current,Meziadin,182,SEL-DU-182,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,KWINAGEESE,Kwinageese,SEL-24-04,Lake Type,Current,Kwinageese,181,SEL-DU-181,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,FRED WRIGHT,Fred Wright,SEL-24-03,Lake Type,Current,Fred Wright,180,SEL-DU-180,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,DAMDOCHAX/WIMINASIK,Damdochax/Wiminasik,SEL-24-02,Lake Type,Current,Damdochax/ Wiminasik,179,SEL-DU-179,
NORTH COAST,Sockeye,NASS SOCKEYE SALMON,SEL-NC-04,Lake Type,BOWSER,Bowser,SEL-24-01,Lake Type,Current,Bowser,178,SEL-DU-178,
